,a,b,K validity range (lower limit),K validity range (upper limit)
0,-0.7655416667,-7.5561145833,-12.95,-11.75
1,-0.398375,-3.24190625,-11.75,-11.35
2,-0.139875,-0.30793125,-11.35,-10.95
3,-0.346125,-2.56636875,-10.95,-10.55
4,-0.195,-0.972,-10.55,-10.25
5,-0.6385,-5.517875,-10.25,-9.85
6,-0.198375,-1.18264375,-9.85,-9.45
7,-0.3888,-2.98216,-9.45,-8.95
8,-0.3060740741,-2.241762963,-8.95,-8.68
9,-0.1272,-0.689136,-8.68,-8.28
10,-0.3842,-2.817096,-8.28,-7.88
11,-0.2152,-1.485376,-7.88,-7.58
12,-0.0904418605,-0.5397093023,-7.58,-7.15
13,-0.173,-1.13,-7.15,-6.85
14,-0.1218,-0.77928,-6.85,-6.6
15,-0.2595447154,-1.688395122,-6.6,-4.14
