Z,a,b,K validity range(lower limit),K validity range(upper limit)
0.000,-0.255,-1.293,,-11.714
0.000,-0.106,0.454,-11.714,-11.247
0.000,-0.223,-0.866,-11.247,-10.779
0.000,-0.653,-5.492,-10.779,-10.312
0.000,-0.676,-5.735,-10.312,-9.845
0.000,-0.705,-6.018,-9.845,-9.378
0.000,-0.204,-1.317,-9.378,-8.910
0.000,-0.224,-1.498,-8.910,-8.443
0.000,-0.106,-0.506,-8.443,-7.976
0.000,-0.181,-1.098,-7.976,-7.509
0.000,-0.099,-0.481,-7.509,-7.042
0.000,-0.233,-1.429,-7.042,-6.574
0.000,-0.135,-0.785,-6.574,-6.107
0.000,-0.343,-2.053,-6.107,
0.000,-0.107,0.497,,-11.984
0.000,-0.312,-1.965,-11.984,-11.534
0.000,-0.249,-1.238,-11.534,-11.083
0.000,-0.520,-4.239,-11.083,-10.633
0.000,-0.278,-1.669,-10.633,-10.182
0.000,-0.660,-5.564,-10.182,-9.732
0.000,-0.602,-4.993,-9.732,-9.281
0.000,-0.181,-1.088,-9.281,-8.830
0.000,-0.310,-2.226,-8.830,-8.380
0.000,-0.225,-1.514,-8.380,-7.929
0.000,-0.189,-1.227,-7.929,-7.479
0.000,-0.074,-0.367,-7.479,-7.028
0.000,-0.066,-0.310,-7.028,-6.578
0.000,-0.491,-3.106,-6.578,
0.000,-0.200,-0.641,,-11.832
0.000,-0.186,-0.472,-11.832,-11.363
0.000,-0.267,-1.393,-11.363,-10.894
0.000,-0.561,-4.598,-10.894,-10.425
0.000,-0.336,-2.252,-10.425,-9.956
0.000,-0.989,-8.760,-9.956,-9.487
0.000,-0.234,-1.589,-9.487,-9.018
0.000,-0.277,-1.983,-9.018,-8.550
0.000,-0.093,-0.404,-8.550,-8.081
0.000,-0.172,-1.048,-8.081,-7.612
0.000,-0.114,-0.603,-7.612,-7.143
0.000,-0.207,-1.265,-7.143,-6.674
0.000,-0.182,-1.100,-6.674,-6.205
0.000,-0.331,-2.028,-6.205,
0.000,-0.148,-0.016,,-11.931
0.000,-0.272,-1.499,-11.931,-11.460
0.000,-0.327,-2.129,-11.460,-10.989
0.000,-0.528,-4.331,-10.989,-10.518
0.000,-0.182,-0.699,-10.518,-10.047
0.000,-1.000,-8.917,-10.047,-9.576
0.000,-0.274,-1.959,-9.576,-9.105
0.000,-0.296,-2.161,-9.105,-8.635
0.000,-0.130,-0.731,-8.635,-8.164
